maxMupPrimaryCareScore,nursingMaxHpsaScoreMh,maxMuaPrimaryCareScore,nhscMaxHpsaScoreMh,specialtyTwo,semesterEndYear,sitePostalCode,siteLatitude,semesterSeason,siteProgramAbbreviatedList,siteAddressLine2,nhscMaxHpsaScorePc,siteCity,disciplineTwo,workSchedule,siteId,psMaxHpsaScoreMh,siteLongitude,camhpsActive,nhscMaxHpsaScoreDh,psMaxHpsaScorePc,siteStateAbbreviation,siteStateName,nhscActive,nursingMaxHpsaScorePc,siteTagList,siteOpportunityId,maxMctaHpsaScore,siteName,discipline,psMaxHpsaScoreDh,sitePhoneNumber,starActive,starMaxHpsaScoreMh,esrExternalIdentifier,siteAddressLine1,trainingSite,disciplineSpecialty,recordKey,disciplineOne,nursingActive,specialtyOne,opportunityType
53.0000,23,NA,23,,0,21613,38.56849179,,,,20,Cambridge,,"{'fullTime': True, 'partTime': False}",8AE24900-306D-4C5F-9984-EAEB72A209B6,23,-76.07889805,True,24,20,MD,,True,20,['SITE_PROFILE_COMPLETED'],1231B423-E02B-49AD-A597-24779062E975,19,Choptank Community Health System - Fassett Magee Medical and Cambridge Dental Health Center,"['Physician, MD/DO']",24,,True,23,,503 Muir St,False,"['Physician, MD/DO - Family Practice']",1231B423-E02B-49AD-A597-24779062E975,"Physician, MD/DO",True,Family Practice,Job
NA,23,NA,23,,0,85349,32.493883,,,,18,San Luis,,"{'fullTime': True, 'partTime': False}",0583CB5D-9A08-45EB-8373-1C8DC2EC155E,23,-114.780506,True,25,18,AZ,Arizona,True,18,['SITE_PROFILE_COMPLETED'],63D7EBF4-4E1A-42D0-8B87-8DACB00B8AD3,21,Sunset CHC - San Luis Medical Clinic,"['Physician, MD/DO']",25,9288198807,True,23,,815 East Cesar Chavez Boulevard,False,"['Physician, MD/DO - General Practice', 'Physician, MD/DO - Pediatrics', 'Physician, MD/DO - Family Practice', 'Physician, MD/DO - Internal Medicine']",63D7EBF4-4E1A-42D0-8B87-8DACB00B8AD3,"Physician, MD/DO",True,General Practice,Job
NA,19,60.0000,19,,0,68701,42.030344,,,,13,Norfolk,,"{'fullTime': True, 'partTime': True}",45B417CE-AD48-4125-984A-5F54863EC946,19,-97.41076,True,20,13,NE,,True,13,['SITE_PROFILE_COMPLETED'],E6E07443-05EC-42C2-8F97-854C6D5A6961,14,"Midtown Health Center, Inc.","['Physician, MD/DO']",20,,True,19,,302 W Phillip Ave,False,"['Physician, MD/DO - Pediatrics']",E6E07443-05EC-42C2-8F97-854C6D5A6961,"Physician, MD/DO",True,Pediatrics,Job
NA,19,60.0000,19,,0,68701,42.030344,,,,13,Norfolk,,"{'fullTime': True, 'partTime': True}",45B417CE-AD48-4125-984A-5F54863EC946,19,-97.41076,True,20,13,NE,,True,13,['SITE_PROFILE_COMPLETED'],B6817916-6388-4DC6-898E-1CEF347376A6,14,"Midtown Health Center, Inc.","['Physician, MD/DO']",20,,True,19,,302 W Phillip Ave,False,"['Physician, MD/DO']",B6817916-6388-4DC6-898E-1CEF347376A6,"Physician, MD/DO",True,,Job
NA,21,NA,21,,0,85658,32.426137,,,,17,Marana,,"{'fullTime': True, 'partTime': False}",FEFD208A-8327-4AFA-9219-6B849A762DDC,21,-111.075212,True,NA,17,AZ,Arizona,True,17,['SITE_PROFILE_COMPLETED'],7072370A-A3B8-4564-A464-6CF28DA5F71D,19,Marana Health - Dove Mountain Health Center & MHC Urgent Care,"['Physician, MD/DO']",25,,True,21,,N Mountain Centre Rd,False,"['Physician, MD/DO - Internal Medicine']",7072370A-A3B8-4564-A464-6CF28DA5F71D,"Physician, MD/DO",True,Internal Medicine,Job
60.0000,17,NA,17,,0,25276,38.797209,,,,20,Spencer,,"{'fullTime': True, 'partTime': False}",8D6593E3-0286-493C-862C-032173874A3D,17,-81.351878,True,19,20,WV,West Virginia,True,20,['SITE_PROFILE_COMPLETED'],F15B7D47-91CA-42CD-9005-41EC8C411CB9,21,Roane County Family Health Care,"['Physician, MD/DO']",19,,True,17,,146 Williams Dr,False,"['Physician, MD/DO - Family Practice']",F15B7D47-91CA-42CD-9005-41EC8C411CB9,"Physician, MD/DO",True,Family Practice,Job
NA,20,58.0000,20,,0,65806,37.213739,,,,21,Springfield,,"{'fullTime': True, 'partTime': False}",5D366450-DEB6-41ED-B652-AFBCE58E8920,20,-93.287908,True,25,21,MO,,True,21,['SITE_PROFILE_COMPLETED'],E468D132-C857-470B-976D-000BFEAC3157,18,Jordan Valley Community Health Center - Tampa,"['Physician, MD/DO']",25,,True,20,,440 E Tampa St,False,"['Physician, MD/DO - Psychiatry']",E468D132-C857-470B-976D-000BFEAC3157,"Physician, MD/DO",True,Psychiatry,Job
NA,21,52.0000,NA,,0,30040,34.213264,,,,21,Cumming,,"{'fullTime': True, 'partTime': False}",55D858C5-58AA-4A45-85B9-3885061E6367,21,-84.137227,True,NA,21,GA,,True,21,['SITE_PROFILE_COMPLETED'],6EFEDC0B-478E-4692-ADE3-CF1EBA34A02F,16,"Georgia Highlands Medical Services, Inc.","['Physician, MD/DO']",25,,True,21,,260 Elm St,False,"['Physician, MD/DO - Family Practice']",6EFEDC0B-478E-4692-ADE3-CF1EBA34A02F,"Physician, MD/DO",True,Family Practice,Job
NA,21,53.0000,21,,0,30120,34.158661,,,,21,Cartersville,,"{'fullTime': True, 'partTime': False}",E311BBA5-0162-4066-92F1-64C52B9520A4,21,-84.814233,True,NA,21,GA,Georgia,True,21,['SITE_PROFILE_COMPLETED'],FEFD6A77-3092-4565-A9EF-3AC1A7B4D79B,16,GHMS Bartow Family Health Center,"['Physician, MD/DO']",25,7708871668,True,21,,775 West Ave STE A,False,"['Physician, MD/DO - Family Practice']",FEFD6A77-3092-4565-A9EF-3AC1A7B4D79B,"Physician, MD/DO",True,Family Practice,Job
NA,21,NA,21,,0,30114,34.246523,,,,21,Canton,,"{'fullTime': True, 'partTime': False}",D8AF4FD1-4D8B-4ED7-AA9F-9E276B0FEF7A,21,-84.488949,True,NA,21,GA,,True,21,['SITE_PROFILE_COMPLETED'],1B4314B6-578B-42BE-8E93-5CB543E76F3C,16,Canton Family Health Center - Georgia Highlands Medical Services,"['Physician, MD/DO']",25,6788071050,True,21,,220 Oakside Ln,False,"['Physician, MD/DO - Family Practice']",1B4314B6-578B-42BE-8E93-5CB543E76F3C,"Physician, MD/DO",True,Family Practice,Job
